T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,1733565;-0,9111724;-0,3699977;-0,05305162;0,4220143;-0,4692962;-0,6704851;0,3900189;0,4635024;-0,4097016;-0,6209573;0,4813753;0,4937986;-0,341788;-0,6294964;0,4930301;0,5481918;-0,2527836;-0,5051053;0,6168106;0,113876;0,1363662;0,1423195;0,133473;0,118499;0,1190763;0,1904578;go
0,1681515;-0,9101645;-0,3744354;-0,05589318;0,4218622;-0,4677573;-0,6729439;0,3877913;0,4638719;-0,4085012;-0,6236073;0,4786063;0,4939448;-0,3418411;-0,6303559;0,4917468;0,5495897;-0,2529;-0,5064975;0,614372;0,1139952;0,1363716;0,1423253;0,1334713;0,1184758;0,1195635;0,1907997;go
0,1676031;-0,9096078;-0,3758354;-0,0571906;0,4210568;-0,4674814;-0,6733629;0,3882715;0,464515;-0,4072744;-0,6245212;0,4778356;0,4951719;-0,3394296;-0,6324842;0,4894447;0,5507059;-0,2504992;-0,5089284;0,6123442;0,1140159;0,1363611;0,1423234;0,1334772;0,1185026;0,1196894;0,1907413;go
0,1668037;-0,9090783;-0,3772772;-0,05844125;0,4203299;-0,4671578;-0,6738358;0,388628;0,4650663;-0,406144;-0,6254275;0,4770757;0,4962196;-0,3373194;-0,6343625;0,4874073;0,5517054;-0,2484445;-0,5110383;0,6105216;0,1140421;0,1363522;0,1423213;0,1334807;0,1185239;0,1198362;0,190717;go
0,1658314;-0,9085655;-0,3787476;-0,05965936;0,4196614;-0,466799;-0,6743472;0,3888947;0,4655548;-0,4050806;-0,6263276;0,4763215;0,4971429;-0,3354214;-0,6360648;0,4855548;0,5526276;-0,2466251;-0,5129305;0,6088363;0,1140725;0,1363437;0,1423196;0,1334841;0,1185407;0,1199966;0,1907157;go
0,1658314;-0,9085655;-0,3787476;-0,05965936;0,4196614;-0,466799;-0,6743472;0,3888947;0,4655548;-0,4050806;-0,6263276;0,4763215;0,4971429;-0,3354214;-0,6360648;0,4855548;0,5526276;-0,2466251;-0,5129305;0,6088363;0,1140725;0,1363437;0,1423196;0,1334841;0,1185407;0,1199966;0,1907157;go
0,1654843;-0,9076826;-0,3808488;-0,06067833;0,4198021;-0,465607;-0,6747179;0,3895283;0,466321;-0,4036024;-0,6270729;0,4758465;0,4981555;-0,3336381;-0,6368033;0,484777;0,5538549;-0,2448288;-0,5138747;0,6076486;0,1140997;0,1363302;0,1423193;0,1334863;0,1185436;0,1201985;0,1907473;go
0,1650087;-0,9068182;-0,3829456;-0,06169131;0,4199309;-0,4644341;-0,675132;0,390072;0,4670765;-0,4021434;-0,6278278;0,4753449;0,4991438;-0,3318851;-0,6375599;0,483968;0,5550571;-0,2430893;-0,5147989;0,6064662;0,1141294;0,1363175;0,1423179;0,1334876;0,1185462;0,120403;0,190788;go
0,1655661;-0,9063851;-0,3835691;-0,06268114;0,4203578;-0,4641874;-0,6748586;0,3903782;0,4675295;-0,4020294;-0,6274436;0,4755032;0,4996257;-0,3315752;-0,6376829;0,4835213;0,5553339;-0,2433075;-0,5146284;0,6062702;0,1141327;0,1363082;0,1423151;0,1334823;0,1185354;0,12047;0,1907478;go
0,1659803;-0,9059681;-0,3841983;-0,06375062;0,4207337;-0,4639969;-0,6745617;0,3907131;0,467985;-0,4019254;-0,6270732;0,4756317;0,5001265;-0,331265;-0,6377946;0,4830683;0,5556387;-0,2434866;-0,5144799;0,6060447;0,1141409;0,136298;0,1423122;0,1334769;0,1185254;0,1205583;0,1907226;go
