T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,6999146;-0,5132678;-0,1328722;-0,4785612;0,1586914;0,5618262;0,1407157;-0,7996047;0,1870883;0,60033;0,06336349;-0,7749755;0,0601868;0,5967082;-0,001197487;-0,8001971;-0,02045874;0,5828428;-0,04115218;-0,8112844;0,08905178;0,0468529;0,03741152;0,03227886;0,03272707;0,05587969;0,06818227;stop
0,7018161;-0,5130861;-0,1331784;-0,4758788;0,1604713;0,5601356;0,1388645;-0,8007585;0,1874783;0,5988283;0,0629344;-0,7760773;0,06137946;0,5946998;-0,003398746;-0,8015941;-0,01945685;0,5807193;-0,04379129;-0,8126925;0,08898468;0,04686057;0,03727289;0,0322528;0,03272871;0,05585625;0,06804504;stop
0,7001791;-0,512574;-0,1348148;-0,4783747;0,1572084;0,5598592;0,1421028;-0,8010308;0,1845595;0,5987153;0,06601408;-0,7766079;0,05892609;0,5946797;-0,001111835;-0,8017998;-0,02200937;0,5808415;-0,04162085;-0,8126544;0,08895794;0,04685094;0,03722996;0,03226297;0,0327464;0,05584854;0,06800748;stop
0,6986179;-0,5121351;-0,1361566;-0,4807411;0,1542004;0,5596725;0,145314;-0,8011699;0,1819443;0,5986513;0,06898504;-0,7770161;0,05677126;0,5947087;0,001096666;-0,8019336;-0,02427331;0,5810082;-0,03947619;-0,8125775;0,08893261;0,04683866;0,03718957;0,03227222;0,03276234;0,05584802;0,06797182;stop
0,6971106;-0,5117527;-0,1372774;-0,4830124;0,1513829;0,559552;0,1485132;-0,8012046;0,179555;0,5986245;0,0718852;-0,7773297;0,05484208;0,5947758;0,003251761;-0,8020123;-0,02631836;0,58121;-0,03734899;-0,81247;0,08890786;0,04682443;0,03715102;0,03228257;0,03277784;0,05585245;0,0679364;stop
0,6956465;-0,5114148;-0,1382254;-0,4852059;0,1487174;0,5594813;0,1516997;-0,8011561;0,177342;0,5986263;0,07473201;-0,7775679;0,05309055;0,5948725;0,005364656;-0,802047;-0,02818969;0,5814388;-0,03523979;-0,8123376;0,0888835;0,0468084;0,03711221;0,03229149;0,03279074;0,05586136;0,0679028;stop
0,6930794;-0,5123836;-0,138023;-0,4879077;0,1471827;0,5593242;0,1560647;-0,8007107;0,1764758;0,5985137;0,07847482;-0,7774825;0,05198725;0,5952739;0,009430856;-0,8017838;-0,02951783;0,582268;-0,03122276;-0,8118609;0,08887197;0,04681431;0,03714137;0,03230154;0,03277539;0,05587668;0,06788487;stop
0,690627;-0,5132653;-0,1378023;-0,4905138;0,1456489;0,5592051;0,1603221;-0,800233;0,1756096;0,5984285;0,08210701;-0,7773695;0,0509419;0,5956658;0,0133065;-0,801505;-0,03078014;0,5830631;-0,02738222;-0,8113819;0,08885899;0,04681704;0,03716517;0,03230993;0,03275972;0,05589442;0,06786659;stop
0,689404;-0,5163118;-0,1377562;-0,4890478;0,1475527;0,5572894;0,1625235;-0,8007765;0,1771628;0,5965243;0,08451456;-0,7782221;0,05313259;0,5937909;0,01471829;-0,8027285;-0,02888788;0,5813448;-0,02535647;-0,8127488;0,0888527;0,04681983;0,03713027;0,03234004;0,03275622;0,05589429;0,06786584;stop
0,6881823;-0,5191333;-0,1376925;-0,487798;0,1492166;0,5555371;0,1647781;-0,8012248;0,178513;0,5947871;0,08696681;-0,7789723;0,05512865;0,5920793;0,01614675;-0,8038297;-0,02717663;0,5797872;-0,02333441;-0,8139802;0,08884416;0,04682056;0,0370935;0,03236784;0,03275213;0,05589549;0,06786358;stop
